#emulator
wavelength i10 i09 i08 i07 i06 i05 i04 i03 i02
180.500000 26855.237251 19300.665234 14979.872174 11259.675427 8105.683755 5506.733699 3188.254732 1742.081077 522.480057
181.500000 36546.733438 26359.733495 20555.676664 15416.857081 11219.572456 7680.348864 4493.186649 2475.442612 753.272953
182.500000 33331.228089 24273.362847 18990.244934 14314.905890 10462.491012 7170.578749 4178.755394 2321.187811 709.077745
183.500000 47317.248492 34632.780452 27175.681541 20865.370195 15415.243730 10814.019472 6421.742623 3628.583567 1133.056119
184.500000 30509.112149 22869.711438 18067.923787 13792.222324 10140.427252 7112.980765 4166.068909 2378.434198 746.687000
185.500000 48010.096175 35309.703552 27863.270974 21399.534726 15837.933280 11062.514632 6545.364175 3719.130297 1165.018520
186.500000 50556.735884 36673.214232 29035.901255 22013.580053 16075.342307 10989.275853 6348.421690 3484.172269 1050.867428
187.500000 36755.695699 26863.350130 20857.361544 15473.262045 11184.632245 7397.279076 4172.886697 2205.696649 644.753878
188.500000 68706.033999 50445.758226 40060.897371 30621.831798 22582.537128 15603.133596 9161.852306 5089.302062 1562.147650
189.500000 135359.821087 100211.673775 79383.457192 61897.754468 45988.606731 32761.236723 19872.531716 11462.622262 3702.412226
190.500000 125973.991055 93302.538401 74445.401190 57191.262732 42262.727902 29658.443436 17776.888479 10247.330351 3281.196293
191.500000 140647.794747 104401.002814 82586.401785 63550.026787 46394.003734 32085.241640 19144.600792 10826.090256 3453.091119
192.500000 78513.896605 56937.131989 43526.716726 32263.557327 22330.328063 14747.079363 8351.598480 4528.217343 1389.026497
193.500000 561.618915 367.431741 258.379673 188.417642 127.064767 91.899279 52.647287 34.400460 19.936069
194.500000 109622.971565 79497.449313 61157.117483 45470.491955 31571.667293 21023.051766 12010.728333 6523.802447 2009.706769
195.500000 288624.279254 216625.198303 172684.011418 132917.474444 98160.247841 68476.742845 41659.895535 23716.404347 7718.441494
196.500000 401162.766675 299425.739603 239735.634815 186891.277731 138745.302916 98880.834789 60734.374766 35231.313890 11590.931079
