#emulator
wavelength i10 i09 i08 i07 i06 i05 i04 i03 i02
180.500000 25181.329757 17994.200390 13785.344182 10519.399081 7521.431040 5161.060396 3001.725021 1634.793894 470.562868
181.500000 34490.796496 24733.585960 18993.758619 14453.214305 10435.699377 7210.053594 4239.783257 2329.880025 681.641601
182.500000 31290.087607 22574.530675 17424.913270 13326.123132 9669.353208 6701.000445 3926.585258 2177.168782 639.959691
183.500000 44970.267802 32613.793106 25211.369343 19559.152908 14307.113607 10098.975741 6049.164704 3414.770202 1030.943861
184.500000 28306.001700 20935.941824 16369.289445 12699.667065 9255.052255 6573.053462 3891.422112 2219.777063 673.915831
185.500000 45199.419732 32956.871325 25622.550045 19904.699185 14586.924606 10284.327643 6137.103260 3485.379004 1055.346003
186.500000 46945.631568 33655.280182 26209.751444 20130.989239 14591.446169 10114.708197 5932.340335 3264.075183 950.333499
187.500000 33038.136563 23623.694757 18234.263110 13750.789381 9909.375106 6693.440827 3882.196287 2054.032487 577.593269
188.500000 64172.502907 46454.509889 36334.224962 28060.857699 20542.015127 14366.559773 8560.715921 4768.797690 1414.577207
189.500000 129968.268024 95266.833969 74236.696476 58225.664327 42834.398784 30648.677756 18697.303384 10782.517818 3367.892019
190.500000 120628.994053 88576.197864 69487.129718 53869.702894 39470.185703 27850.571787 16678.408474 9572.396251 2943.715399
191.500000 134438.101959 98650.543524 77040.318270 59776.750677 43323.354982 30129.879983 17882.392758 10031.091320 3058.653612
192.500000 72656.379305 52265.731329 39807.631905 29706.955502 20481.028346 13510.239317 7560.190416 4002.887364 1174.194148
193.500000 440.658220 277.648382 190.848521 138.383847 92.787606 66.169122 39.560804 25.814634 16.561429
194.500000 102170.276107 73655.330604 56339.241339 42126.896671 29107.405106 19339.244118 10898.510028 5779.845968 1701.568978
195.500000 277545.383884 206145.003209 161919.988264 125663.985565 92062.328010 64543.890972 39017.914503 22035.692335 6858.613798
196.500000 389056.734543 287673.974519 226624.823108 177467.821138 130561.394603 93276.393557 57121.638315 32960.511651 10400.066505
197.500000 540433.483469 403096.808964 318281.429349 252097.818036 187642.016720 136118.517616 84969.704589 49864.578788 16135.448372
198.500000 548130.632813 411730.088952 326643.851288 257983.490489 192102.840092 139512.996779 86555.949232 50770.403519 16625.043613
199.500000 583369.710472 434835.864065 343972.065779 272705.205603 202689.812193 146722.430832 91466.739219 54120.115136 17728.301635
200.500000 665722.636055 498270.354489 396460.168490 313254.151865 234473.696020 170260.670493 106202.327165 63139.168412 20775.590194
201.500000 864662.093555 647973.298512 513579.901087 406914.089199 303908.152664 221484.636221 139003.032725 82203.188189 27157.370038
202.500000 538415.052890 406566.608810 324234.234844 255899.909964 190335.063876 137543.785841 85394.330484 50371.097948 16803.114634
203.500000 1010987.314058 760285.914249 606699.676270 483640.630390 362252.847064 264684.623354 166803.305651 100201.288917 33284.280609
204.500000 1346871.088719 1012390.803746 809090.806274 646240.656293 484604.263796 355920.789477 226479.349994 135773.848196 45179.150175
205.500000 1576669.945345 1192312.646540 953059.987280 760837.909787 574507.854113 423403.965278 268614.553506 161592.228306 54335.277555
206.500000 1703964.900918 1294212.537729 1039855.123670 830074.303459 627379.357772 463641.077152 293819.052040 177536.386388 60276.660897
207.500000 666210.776782 492855.567048 390379.606711 304806.953019 223560.641399 160240.239332 101975.354364 62977.548008 24429.301412
208.500000 6569560.464083 5506250.394135 4733947.107823 4035714.687212 3349399.312023 2708863.994081 2051725.300343 1513625.354056 850455.961732
209.500000 28675219.871977 22465672.418252 18015428.540205 14544523.351361 11413457.755443 8717762.592780 6277338.132966 4336473.119153 2352562.634923
210.500000 80377098.902059 56847097.418589 41516505.672933 30828088.421520 22460098.318386 16116172.385677 11003710.206371 7167871.473834 3741976.365141
211.500000 556769377.987913 333018810.462843 204697246.109788 127392896.914056 80094126.754295 50407658.796603 30924363.013824 18347159.182809 9128620.000150
212.500000 163117971.901817 110863573.559390 77101221.234406 54162282.765340 37581600.688934 25781833.152228 16779375.611225 10430803.164072 5200101.260617
213.500000 565104733.397833 349912041.374222 221451140.164860 141447189.547355 90853549.055447 58197129.076415 36179733.746556 21861296.444777 10963409.177503
214.500000 967700363.938894 575216242.640035 350244654.018276 215959562.711361 134149584.145141 83536804.864375 50637642.800385 29716970.379566 14698820.914864
215.500000 516855129.798302 324841439.866263 209891580.730561 137572246.710148 90506327.654704 59091572.606726 37433356.205305 22801162.191578 11600558.447970
216.500000 330618729.211808 221833508.711395 153739961.646286 107652980.945803 75139636.933094 51800624.845708 34270792.792496 21725583.334969 11233720.289806
217.500000 269203904.815717 187485311.415581 134185668.415977 96929714.168627 69399866.298639 49033694.078319 33202548.996965 21586612.475464 11476195.806934
218.500000 1521538617.996392 919154350.293757 565426349.336382 352503489.538318 220677431.799915 137740861.949234 83716339.066927 48834184.128283 24219823.816120
219.500000 927236185.076378 595909842.131314 394066825.914179 264331094.544152 177966024.415745 118719035.302603 76694879.786575 47509612.878104 24622248.797397
220.500000 1159769826.932327 733440754.554310 475489764.094369 311488925.505573 204895891.207738 134417143.296830 85823173.430651 52926242.285572 27405164.986807
221.500000 641287528.020634 438217520.086941 305477444.213575 213882887.011356 148682445.396802 101818149.251431 66986312.431109 42114167.910947 21718519.578862
222.500000 3670298277.561824 2248152840.842411 1379647353.134432 842496568.940430 515963053.343319 313241986.466364 184967332.610148 105257328.282061 51917238.324689
223.500000 4355629876.455883 2637942776.980989 1610727892.308406 988363868.419923 607632143.159330 371707487.968494 221903427.750632 127336243.482179 63970858.798908
224.500000 3467571793.580142 2196945171.937668 1407451956.346488 904445452.757031 581727529.061221 369936259.082350 228087827.709917 134854850.390256 69196366.766611
225.500000 1364156657.992746 944911202.145343 664107054.097284 467010627.803645 326331914.431087 224790950.680275 149081521.926267 94982605.430509 50859492.503573
