#emulator
wavelength i10 i09 i08 i07 i06 i05 i04 i03 i02
180.500000 8364.983928 6918.840876 5739.757422 4545.693865 3554.496827 2640.824318 1791.604549 1027.990190 458.124439
181.500000 11087.099510 9155.723897 7684.338916 6103.185217 4803.086513 3595.019540 2469.119766 1440.224290 646.476958
182.500000 10499.159117 8737.983607 7310.314631 5836.207352 4601.302124 3443.832174 2368.315151 1385.940991 625.812391
183.500000 14801.738201 12337.712847 10392.755424 8386.679753 6657.046922 5045.830049 3521.273549 2163.262502 994.469038
184.500000 10678.591047 8900.864103 7482.301863 6035.207666 4750.119798 3583.654805 2500.471037 1487.067250 695.683781
185.500000 15686.934567 13083.794480 11045.111382 8904.328533 7051.316167 5331.332020 3741.582319 2260.364698 1046.369141
186.500000 15693.040571 13153.834128 10994.057536 8791.062845 6983.783397 5255.063789 3647.317620 2164.377718 986.578852
187.500000 11507.389754 9577.642865 7894.845857 6346.945136 4960.965556 3672.443065 2516.986652 1436.253700 650.603384
188.500000 22053.302034 18505.120226 15473.067611 12504.176318 9951.226503 7507.068550 5254.606529 3166.948856 1456.421981
189.500000 43799.530587 36764.733174 31243.764452 25306.180637 20303.467267 15485.343986 10959.229026 6812.953721 3204.036287
190.500000 42893.127448 35824.430231 30268.993715 24405.296176 19406.783643 14696.889948 10253.378170 6149.259697 2853.594051
191.500000 49393.821661 41364.986100 34731.778778 27817.525615 22116.284535 16491.746826 11302.743247 6507.401327 2994.863075
192.500000 30758.551317 25605.927397 20794.065685 16204.999052 12556.618158 8785.946505 5721.106404 2836.221557 1267.366588
193.500000 655.089675 502.721100 419.794103 338.198618 217.648055 171.549906 127.806842 57.692461 34.330900
194.500000 42606.323780 35577.928130 29068.686278 22597.525408 17612.585826 12379.842933 8072.329666 4033.406667 1802.118565
195.500000 102214.183714 85839.699650 72490.172216 58331.529472 46578.426587 35103.674654 24252.178183 14202.153871 6552.973318
196.500000 138823.455266 116886.241616 98968.938724 80071.821133 64436.115161 48975.649092 34280.884777 20887.963057 9770.131330
197.500000 189836.403812 160072.437892 135984.691885 111092.359904 89831.962611 69144.156835 49233.105380 31212.370553 14939.275485
198.500000 199075.761894 168159.471406 142910.993909 116338.986116 94270.467388 72252.018565 51234.188508 32383.792906 15461.057705
199.500000 209708.994795 176579.190810 150608.782177 122362.061224 98643.548744 76027.590025 54038.926367 34365.929972 16514.425692
200.500000 244753.155084 206581.777270 175775.734034 143143.355003 115857.857205 89011.647791 63284.391002 40311.431486 19488.716262
201.500000 317817.659448 268228.382601 228417.959278 186187.818948 150895.912898 115802.058581 82358.308931 52202.671682 25283.889512
202.500000 222138.629032 187721.336099 157735.895033 128690.149205 102747.933260 78419.340956 55332.188564 34087.265891 16644.953625
203.500000 378417.748332 320947.552894 273820.582978 224041.924641 182029.710111 140489.367371 100231.434811 64552.230153 31501.003835
204.500000 499781.275714 423773.942963 361994.500747 296952.992487 241951.356528 187374.188498 134296.563805 86669.431854 42428.457360
205.500000 586634.686636 497552.810007 424986.906258 349761.614168 284341.524991 220905.224477 158391.261182 102847.909307 50529.073526
206.500000 645804.359022 548409.057139 469222.623082 386126.660220 314340.478136 243900.456395 174931.805112 113951.240440 56239.492611
207.500000 314420.618606 267565.341529 224148.179727 181564.919286 146274.960302 108068.476056 76886.412647 46238.423366 23716.565355
208.500000 3040833.507677 2756402.037118 2473605.031656 2176729.785713 1897038.530895 1614479.189174 1328534.392430 1049501.534213 701533.527299
209.500000 12104846.806288 10080333.922028 8377329.385194 6903497.805361 5582470.448790 4492391.820691 3446463.352631 2592968.552427 1705970.760422
210.500000 36150261.545463 26547021.338650 19812440.472034 14874342.632056 11078614.465882 8185866.497347 5848339.149492 4075347.688951 2532846.355389
211.500000 313196738.852221 179802074.821230 105639126.265594 64077415.843003 39905392.314705 25445286.160379 16083341.341365 9917926.056185 5695694.868677
212.500000 84888701.391373 57489512.230543 39664559.475008 27674899.960568 19311526.098207 13406757.122812 9067273.663600 5876096.133861 3484905.762808
213.500000 323365162.485260 192621682.358947 117149785.136060 73158489.056190 46614809.649935 30157213.085077 19296096.795342 11978953.583100 6960011.934028
214.500000 563434883.886067 320562200.147521 186171806.746659 111760651.690796 68655275.091738 43135716.829797 26782690.517155 16127346.628492 9141298.157343
215.500000 297943637.827504 181904731.554090 113732269.798249 72992212.694410 47619505.261699 31331545.592903 20355784.937052 12797322.614529 7500818.744096
216.500000 174543023.086573 116311109.401342 79307665.871868 55216017.069230 38638442.498678 27105191.621253 18544704.756242 12319017.913173 7495711.466584
217.500000 140825732.191026 97938657.906099 69204644.598893 49663529.445839 35637455.953634 25693483.377158 18007348.532510 12330407.375080 7667430.039206
218.500000 934592936.452872 541760209.788870 318943672.929150 193411584.373611 118962299.975382 74501009.692500 45812631.651018 27036190.344995 15182314.265848
219.500000 504491374.849206 318816325.602507 206732259.936196 137228603.866594 92253766.982358 62404933.608533 41400228.573891 26667998.658015 15933938.076381
220.500000 648713234.980748 397621608.589222 248797442.589042 159765360.788221 104785852.958666 69779814.868052 45939772.986088 29598659.430338 17713542.095175
221.500000 352433823.635620 238797470.525725 164159450.968891 114177754.706227 79270258.326352 54883868.778741 37188864.474519 24275038.145340 14622287.464222
222.500000 2411617506.655102 1409897884.258995 823664337.407587 486571237.271814 288744202.153909 174291367.374020 103490814.780980 58986477.707820 32519369.607439
223.500000 2948397802.322236 1707425468.412448 991590599.729703 586190027.601300 349830264.332809 212632099.683365 126970048.073004 72432138.700614 40053336.702355
224.500000 2290117836.659392 1399412848.216290 861885237.135290 538701143.193917 337340801.053744 212638638.595665 131033034.453238 76994391.235156 43600755.273198
225.500000 811681757.387489 553464959.674393 381083344.244236 264191538.996112 182500153.062681 125493881.378630 84401808.088699 54861374.630626 33477250.661544
226.500000 421625537.796849 310578116.209025 229723916.172118 170374418.891353 125163009.886609 91247275.075214 64406296.804101 44392641.541012 27918185.917352
227.500000 261620162.905757 202013315.475628 157091016.123477 121852569.146721 93403115.333398 71075078.531653 52264247.880997 37656060.084214 24482105.663477
228.500000 1385764652.566385 890070172.685176 582731051.096147 388710318.834211 261726928.941227 176995418.321508 117614805.828334 75493477.665007 45602329.082352
229.500000 521077292.038644 384993478.668631 286671292.268958 213806534.807904 158139959.982518 116064856.936115 82701989.294117 57316707.962501 36417929.174186
230.500000 2217214225.739242 1417400987.103378 919903722.066881 606110191.648254 401746746.548165 267367806.442337 174634017.465976 109981905.647856 65687031.324942
231.500000 1011661965.012742 715510157.073043 509857833.598143 364384800.990784 258961875.557863 182893433.078670 126384502.434189 83800084.976908 51858658.194909
232.500000 1426522798.354177 1004141123.752894 710510497.774634 504003568.985108 354041881.858428 246633784.722836 167706356.196100 109365801.718883 66841631.499256
233.500000 3105675715.067665 2177682037.448110 1515901260.061042 1046974054.325988 710170285.211441 475791160.178487 309044290.305999 190892515.973176 112820250.426658
234.500000 1748721048.051212 1284555412.048452 937536256.115007 677389648.194614 480903483.686763 336725062.457058 229645497.248823 149893730.609170 93078510.052148
235.500000 4061841819.021085 2725101078.852224 1831146183.753119 1234970646.094932 824854409.985954 549358334.020570 356611464.955808 221426486.792446 131695458.275777
236.500000 1904933054.098862 1392371091.420456 1013015812.796707 732423160.614383 521455328.845085 366751941.390645 251153427.637997 165417062.382957 102669366.351323
237.500000 1991963466.440503 1433806673.325910 1033896971.948929 746270468.382949 534728558.707858 380337199.028867 264003757.918946 177530185.507559 111583093.875649
238.500000 1757506693.582453 1352408262.679397 1033519371.523224 780129902.432361 578094003.979882 421365567.779490 299733544.167916 205192427.159158 132697497.480152
239.500000 2470005783.059065 1837326250.889963 1358542008.695778 997806386.805850 720998110.654625 514156594.170740 357165818.085908 238956282.571360 151123285.475220
240.500000 4191101064.917856 3088796526.470815 2251902117.038160 1623758491.846348 1146467188.418111 796681571.658414 537744828.633798 346846402.986554 213390196.657615
241.500000 2733988332.353723 2057318138.317375 1542759428.462941 1145522608.396219 837663449.692742 604139241.444677 424709348.830173 287571756.404835 184050531.268817
242.500000 4870436962.415411 3390659581.997107 2368570434.381540 1656677193.155543 1149879582.323388 791989861.968816 532561835.438969 342273129.003028 208990849.632984
243.500000 3698010305.102809 2703591922.603025 1978872945.386215 1442458011.431483 1040907304.823514 741019193.930781 515307447.772691 343865624.287995 216714602.999681
244.500000 6838163904.854715 4796025334.637343 3373540222.952482 2377622769.015640 1658876503.906138 1148019449.468463 774671956.609169 501895117.924295 309730342.287501
245.500000 6293405600.391508 4455539492.149937 3166996393.991710 2257562986.152587 1595455613.969277 1117745715.019090 764329938.196228 503523834.176167 314033876.204471
