#emulator
wavelength i10 i09 i08 i07 i06 i05 i04 i03 i02
180.500000 6482.466936 5472.476313 4613.846247 3715.386405 3005.943812 2267.435377 1596.721824 930.357952 389.218805
181.500000 8542.236819 7212.923331 6145.760761 4964.982699 4043.565338 3076.743892 2196.273589 1307.233531 551.353319
182.500000 8154.208940 6925.817640 5890.398003 4788.952375 3906.581879 2968.608555 2117.523710 1260.790098 534.110978
183.500000 11409.979540 9702.753608 8286.118399 6781.522195 5561.905031 4285.996541 3107.873976 1957.952179 850.834032
184.500000 8368.425304 7090.039177 6051.843718 4973.472847 4050.995744 3089.174864 2227.229339 1340.821273 592.365616
185.500000 12198.619680 10355.517262 8872.603876 7271.885749 5952.149453 4565.550998 3324.322179 2049.270228 896.136327
186.500000 12220.426404 10435.564898 8885.949208 7254.220621 5974.640911 4559.907719 3285.635505 1987.446081 840.557684
187.500000 9035.896169 7674.276743 6463.319545 5335.335990 4331.241281 3251.121137 2298.048376 1328.254261 547.461234
188.500000 17241.715517 14724.756824 12524.477524 10319.929285 8494.163983 6497.235240 4714.954619 2897.844697 1240.937788
189.500000 34001.340393 29072.862142 25028.930869 20520.577452 16965.543397 13149.681794 9664.204526 6155.423840 2749.981547
190.500000 33626.768798 28587.165807 24503.452941 20026.464659 16406.810769 12604.940029 9101.639068 5545.706034 2447.239530
191.500000 39187.259054 33428.973508 28563.592585 23167.633348 18973.255368 14345.537865 10138.333170 5876.224049 2565.634210
192.500000 25379.221796 21601.405699 18026.194198 14193.252018 11297.712307 8002.248590 5299.680687 2583.742865 1110.321437
193.500000 464.647351 380.187141 323.121925 246.901050 190.893296 145.758678 116.475038 53.821951 40.146253
194.500000 35050.810701 29950.571766 25115.790532 19753.122959 15845.132160 11289.794984 7491.395745 3685.103827 1585.173992
195.500000 81050.547248 69354.058320 59596.898954 48578.655475 39952.769543 30524.831668 21758.003762 12842.471042 5623.419546
196.500000 109371.195683 93619.871297 80440.318468 65843.119081 54449.298736 41986.338685 30396.248904 18830.404111 8393.558652
197.500000 148427.333922 127256.356380 109421.112535 90415.592587 75121.334334 58683.658537 43347.749869 28134.135192 12828.221922
198.500000 156376.733699 134165.184403 115346.526820 95115.308999 79227.417287 61561.396818 45214.933275 29171.616757 13256.702750
199.500000 164693.771542 140756.811841 121334.416882 99846.250992 82725.170640 64659.324114 47575.045565 30935.588131 14200.964529
200.500000 192945.219941 165111.100227 142163.854468 117054.588302 97286.007535 75708.631466 55699.589244 36182.218321 16703.234542
201.500000 250930.986544 214647.653006 184786.583070 152151.780781 126504.854126 98331.612853 72320.478975 46749.601271 21635.367808
202.500000 178218.607641 152191.374630 129917.852822 107074.461422 87736.300616 67536.966754 49030.438148 30448.421215 14260.566074
203.500000 299419.677675 257330.886910 222171.010675 183640.634143 153043.683777 119595.539950 88172.722518 57898.810696 27025.887835
204.500000 395188.293548 339471.805580 293215.839948 242838.029622 202899.353108 159130.147926 117890.682817 77673.453057 36405.292239
205.500000 463430.992205 398612.696856 344228.956783 286260.091164 238717.325404 187781.756263 139243.923140 92288.033926 43331.224671
206.500000 511289.028499 440158.148018 380522.359474 316409.645660 264242.833261 207539.657156 153880.831133 102146.897370 48168.822315
207.500000 264262.399770 229577.286261 196547.980429 160583.387107 132055.134501 98417.292762 70799.035495 42183.748733 20928.971899
208.500000 2523838.904497 2304039.019799 2064506.147740 1817782.118116 1588699.545659 1350043.891440 1108716.900089 886937.001741 585712.667024
209.500000 10576285.641242 8759050.872000 7240910.429474 5915551.699280 4758814.576464 3793898.158333 2885384.916945 2168012.561019 1404486.211200
210.500000 32895813.603656 23848414.525571 17701836.987157 13163328.778536 9727786.072558 7095422.953562 5007112.872853 3443843.741749 2101126.362419
211.500000 290799553.342158 165812696.563961 97298190.487352 58601306.317220 36237754.656010 22803175.181894 14212127.272282 8543534.473746 4802662.224536
212.500000 78103054.253123 52367404.309671 36002852.564921 24884482.620773 17249887.816289 11805846.352120 7896212.330551 5007670.617582 2920389.291950
213.500000 300122947.977951 177600256.152801 107860579.945492 66875721.209751 42339111.537443 27040139.865284 17079306.618145 10342482.038982 5890799.727996
214.500000 525117103.536183 297043383.005377 172469065.121898 102925085.299106 62845470.868098 39003017.786212 23901362.303158 13998447.542999 7778067.641237
